block,latent_frame,metric,mean,owner_mean
2,1,causal_owner_query_cycle_confidence,0.20184352537064512,0.7677279733387488
2,2,causal_owner_query_cycle_confidence,0.2262785507447216,0.7749341103819108
2,0,causal_owner_support,0.06217948717948718,1.0
2,1,causal_owner_support,0.07179487179487179,1.0
2,2,causal_owner_support,0.07948717948717948,1.0
2,0,causal_owner_transport,0.04114440704057089,0.5475314181182802
2,1,causal_owner_transport,0.04025335919756729,0.48794832532959326
2,2,causal_owner_transport,0.04420946968140271,0.5064653976550025
2,0,causal_owner_weight,0.03404522279325204,0.5475314181182802
2,1,causal_owner_weight,0.03503218745956054,0.48794832532959326
2,2,causal_owner_weight,0.04025750596744892,0.5064653976550025
2,0,factorized_source_residual_action,0.6860922540324211,nan
2,1,factorized_source_residual_action,0.6929926259949776,nan
2,2,factorized_source_residual_action,0.6500823696161462,nan
2,0,factorized_source_value_action,0.6860922540324211,nan
2,1,factorized_source_value_action,0.6929926259949776,nan
2,2,factorized_source_value_action,0.6500823696161462,nan
2,0,factorized_target_memory_action,0.08066938132428353,nan
2,1,factorized_target_memory_action,0.09199927160596837,nan
2,2,factorized_target_memory_action,0.09739034915948055,nan
2,0,velocity_owner_ignition,0.029702770542830992,0.2243128106497305
2,1,velocity_owner_ignition,0.031721398463616005,0.19149944725878804
2,2,velocity_owner_ignition,0.03532630199900805,0.253857642562399
2,0,velocity_owner_response_likelihood,0.11833437096787841,0.7323905132019642
2,1,velocity_owner_response_likelihood,0.11905975021094352,0.6434779466528978
2,2,velocity_owner_response_likelihood,0.12010503203099315,0.6733134131157591
2,0,velocity_owner_signature_similarity,0.43969668306243154,0.5130188293063763
2,1,velocity_owner_signature_similarity,0.44202945525519166,0.49443625565618277
2,2,velocity_owner_signature_similarity,0.41852090483149273,0.4713605357514274
2,0,velocity_owner_verification,0.12316743335134397,0.5612090248038474
2,1,velocity_owner_verification,0.12566725006491208,0.5045296827863369
2,2,velocity_owner_verification,0.1148035642718568,0.5300486609940568
2,0,velocity_owner_verified_transport,0.04114440704057089,0.5475314181182802
2,1,velocity_owner_verified_transport,0.04025335919756729,0.48794832532959326
2,2,velocity_owner_verified_transport,0.04420946968140271,0.5064653976550025
3,0,causal_owner_confidence,0.12454455448881699,0.6398896853769979
3,1,causal_owner_confidence,0.10805264235845803,0.6804577287647032
3,2,causal_owner_confidence,0.12245848669434707,0.7258552142208622
3,0,causal_owner_observation,0.018680511080683807,0.14645356625588912
3,1,causal_owner_observation,0.0,0.0
3,2,causal_owner_observation,0.02619258356400025,0.19539177345652733
3,0,causal_owner_query_cycle_confidence,0.21734167360926407,0.8096367245720278
3,1,causal_owner_query_cycle_confidence,0.20532797145756493,0.7669518741388475
3,2,causal_owner_query_cycle_confidence,0.20063235683557698,0.7736914490740145
3,0,causal_owner_support,0.07948717948717948,1.0
3,1,causal_owner_support,0.07948717948717948,1.0
